episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
215,10,19,"""Two Fates""Transcription: ""Shukumei no Futari"" (Japanese: 宿命のふたり)",Hiroshi Kimura,Shin Yoshida,09/06/2011,09/11/2013,7.3,337,"Naruto reproaches Sasuke for attempting to kill Sakura. Then Sasuke reveals that he killed Danzo with his own hands. He goes on to declare his intent to purify the Uchiha Clan's name by annihilating the Hidden Leaf, whom he holds responsible for dishonoring the Uchiha Clan. Naruto, ignoring Kakashi's order to leave with Sakura, charges toward Sasuke with his Rasengan.",Manga Canon,,215,"
                            7.1
                        "
216,10,20,"""High-Level Shinobi""Transcription: ""Ichiryū no Shinobi"" (Japanese: 一流の忍)",Ken'ichi Nishida,Shin Yoshida,16/06/2011,16/11/2013,7.5,359,"After White Zetsu prevents Naruto from defeating Sasuke, Naruto throws his goal of becoming Hokage away and refuses to kill Sasuke just to end his life as a renegade.",Manga Canon,,216,"
                            7.1
                        "
217,10,21,"""The Infiltrator""Transcription: ""Sennyūsha"" (Japanese: 潜入者)",Daisuke Tsukushi,Katsuhiko Chiba,23/06/2011,23/11/2013,7.4,333,"Killer Bee returns to the Hidden Cloud Village to the delight of Omoi and Karui. He has brought Kisame's sword, Samehada, with him. Bee believes the sword has taken a liking to him but is unaware that this is all just part of the Akatsuki's plan. Meanwhile, Sai informs the Leaf Shinobi of Danzo's fate.",Manga Canon,,217,"
                            7.3
                        "
218,10,22,"""The Five Great Nations Mobilize""Transcription: ""Ugokidasu Taikoku"" (Japanese: 動き出す大国)",Masato Kitagawa,Yuka Miyata,30/06/2011,30/11/2013,7.1,332,"The formation of the Allied Shinobi Forces is ratified by the Feudal Lords of the Five Great Nations. Each Kage returns to their village to prepare for the coming war. Meanwhile, Naruto has returned to the Leaf Village and asks Shikamaru to gather up his friends.",Manga Canon,,218,"
                            7.4
                        "
219,10,23,"""Kakashi Hatake, the Hokage""Transcription: ""Hokage Hatake Kakashi"" (Japanese: 火影はたけカカシ)",Yoshihiro Sugai,Katsuhiko Chiba,07/07/2011,07/12/2013,8,383,The Elder declares Kakashi Hatake as the 6th Hokage.,Manga Canon,,219,"
                            7.7
                        "
220,10,24,"""Prophecy of the Great Lord Elder""Transcription: ""Ōgama Sennin no Yogen"" (Japanese: 大ガマ仙人の予言)",Kanryou Kishikawa,Yasuyuki Suzuki,21/07/2011,14/12/2013,7.2,323,"Naruto is summoned to Mt. Myoboku to face the Great Elder. Meanwhile, Tsunade calls a meeting to discuss the inevitable war with the Akatsuki.",Manga Canon,,220,"
                            7.4
                        "
221,10,25,"""Storage""Transcription: ""Kurairi"" (Japanese: 蔵入り)",Naoki Horiuchi,Masahiro Hikokubo,28/07/2011,21/12/2013,7.8,340,Anko and a group on Leaf ninja discover Madara's location. At the same time Kabuto requests partnership with Madara in the upcoming war. Madara is unable to say no. Meanwhile Naruto continues to remain in Mt. Myobuko.,Manga Canon,,221,"
                            7.3
                        "
222,11,1,"""The Five Kage's Decision""Transcription: ""Gokage no Ketsudan"" (Japanese: 五影の決断)",Kiyomu Fukuda,Shin Yoshida,28/07/2011,28/12/2013,7.1,316,"The five Kage make the decision to keep Bee and Naruto out of the war. Meanwhile, Naruto and Yamato are taken to a remote island for training.",Manga Canon,,222,"
                            7
                        "
223,11,2,"""The Young Man and the Sea""Transcription: ""Seinen to Umi"" (Japanese: 青年と海)",Mitsutoshi Satou,Junki Takegami,04/08/2011,04/01/2014,5.8,247,"Naruto, Yamato, Might Guy and Aoba are ready to depart for the remote island. When suddenly, Aoba and Guy are attacked by a giant marlin.",Filler,,223,"
                            7.3
                        "
224,11,3,"""The Ninja of Benisu""Transcription: ""Benisu no Shōnin"" (Japanese: 紅州の商忍)",Yoshihiro SugaiHiroshi Kataoka,Katsuhiko Chiba,11/08/2011,11/01/2014,5.6,239,"Guy becomes extremely seasick resulting in a stop at a nearby island. Naruto finds Sakura, Ino and Choji who are on their own special mission.",Filler,,224,"
                            7.1
                        "
225,11,4,"""The Cursed Ghost Ship""Transcription: ""Norowareta Yūreisen"" (Japanese: 呪われた幽霊船)",Yutaka Kagawa,Masahiro Hikokubo,18/08/2011,18/01/2014,5.4,241,Naruto and the crew encounter a ghost ship. After boarding Naruto comes into contact with a boy called Hishaku who's shipmates were killed by a giant sea creature.,Filler,,225,"
                            6.8
                        "
226,11,5,"""Battleship Island""Transcription: ""Senkan no Shima"" (Japanese: 戦艦の島)",Maki Odaira,Yasuyuki Suzuki,25/08/2011,25/01/2014,5.1,264,"Naruto's ship gets caught in a unique storm. The storm is the work of a group of savage pirates. After barely escaping their clutches, the crew wash up on an island which seems to have a devastating history.",Filler,,226,"
                            6.8
                        "
227,11,6,"""The Forgotten Island""Transcription: ""Bōkyaku no Shima"" (Japanese: 忘却の島)",Masahito Otani,Katsuhiko Chiba,01/09/2011,01/02/2014,5.5,238,"Naruto's ship is caught in another storm, when suddenly Guy is taken by a giant bird to a nearby island. After investigating the island Naruto finds that everything is a little bigger than normal.",Filler,,227,"
                            9
                        "
228,11,7,"""Fight! Rock Lee!""Transcription: ""Tatakae Rokku Rī!"" (Japanese: 闘えロック・リー!)",Kanryou Kishikawa,Masahiro Hikokubo,08/09/2011,08/02/2014,5.4,235,Guy remembers a terrible incident that may ruin Rock Lee's view of him. He continues training Rock Lee but the training all seems to relate to the terrible incident.,Filler,,228,"
                            8.3
                        "
229,11,8,"""Eat or Die! Mushrooms from Hell!""Transcription: ""Kuu ka Kuwareru ka! Odoru Kinoko Jigoku"" (Japanese: 食うか食われるか!踊るキノコ地獄)",Kiyomu Fukuda,Shin Yoshida,22/09/2011,15/02/2014,5.3,243,Naruto's ship stops at a port to resupply. With no food everyone is starving. All seems fixed when Naruto purchases some Mushrooms. But that was only the start of a sudden flow of problems.,Filler,,229,"
                            7.7
                        "
230,11,9,"""Revenge of the Shadow Clones""Transcription: ""Kage no Gyakushū"" (Japanese: 影の逆襲)",Hiroshi KataokaYoshihiro Sugai,Yasuyuki Suzuki,29/09/2011,22/02/2014,5.6,236,"Naruto's ship is caught in another storm. This time Naruto uses his shadow clones to defend the ship from harm. After the storm, Naruto becomes his own worst enemy and his shadow clones turn on him.",Filler,,230,"
                            7.8
                        "
231,11,10,"""The Closed Route""Transcription: ""Tozasareta Kōro"" (Japanese: 閉ざされた航路)",Ken'ichi Nishida,Junki TakegamiDaisuke Watanabe,06/10/2011,01/03/2014,5.4,233,Naruto's ship is caught in an obstacle field of reefs and a whirlpools. Shikamaru is along for the ride and the situation helps teach him a lesson.,Filler,,231,"
                            7.8
                        "
232,11,11,"""The Girls' Get-Together""Transcription: ""Konoha no Joshikai"" (Japanese: 木ノ葉の女子会)",Shuu Watanabe,Katsuhiko Chiba,13/10/2011,08/03/2014,6.5,239,"Tenten gets all the girls together to reminisce. Kiba also holds a get together for the boys to reminisce. meanwhile, Tsunade meets with the Fuedal Lord.",Filler,,232,"
                            7.8
                        "
233,11,12,"""Naruto's Imposter""Transcription: ""Sanjō, Nise? Naruto"" (Japanese: 参上、偽?ナルト)",Naoki Horiuchi,Shin Yoshida,20/10/2011,15/03/2014,5.5,230,Naruto's reputation is on the line as he is faced with a law breaking impostor claiming to be him.,Filler,,233,"
                            7.8
                        "
234,11,13,"""Naruto's Favorite Pupil""Transcription: ""Naruto no Manadeshi"" (Japanese: ナルトの愛弟子)",Gorou Sessha,Junki Takegami,27/10/2011,22/03/2014,6.2,246,"Konohamaru seeking to prove himself as a powerful ninja, challenges Temari to a battle. Things heat up as Temari taunts Konohamaru.",Filler,,234,"
                            9
                        "
235,11,14,"""The Kunoichi of Nadeshiko Village""Transcription: ""Nadeshiko no Kunoichi"" (Japanese: 撫子のくノ一)",Jun'ichi Fujise,Yuka Miyata,03/11/2011,29/03/2014,5.8,233,Kokuyo craves leadership of a village through Shizuka's hand in marriage. Shizuka rejects his offers many times. Naruto then is forced into a battle for Shizuka's hand in marriage.,Filler,,235,"
                            9.3
                        "
236,11,15,"""Friends You Can Count On""Transcription: ""Nakama no Senaka"" (Japanese: 仲間の背中)",Tomoya Tanaka,Shin Yoshida,10/11/2011,05/04/2014,5.9,227,"Shino begins to reminisce about a mission he once took part in with Naruto, in which he learns the true meaning of friends and teammates.",Filler,,236,"
                            9.5
                        "
237,11,16,"""Ah, My Hero Lady Tsunade!""Transcription: ""Aa, Akogare no Tsunade-sama"" (Japanese: ああ、憧れの綱手様)",Hisashi Ishii,Katsuhiko Chiba,24/11/2011,12/04/2014,6.1,226,"Tenten reminisces about the time when she craved to be like Lady Tsunade, only finding out that all her characteristics didn't align with Tsunade's.",Filler,,237,"
                            7.9
                        "
238,11,17,"""Sai's Day Off""Transcription: ""Sai no Kyūsoku"" (Japanese: サイの休息)",Masaaki Kumagai,Yasuyuki Suzuki,01/12/2011,19/04/2014,5.9,230,"Sai is given the day off. He reminisces on his bonds with his friends, and ends up using his artistic skills to display his feeling of the the bond.",Filler,,238,"
                            8.1
                        "
239,11,18,"""The Legendary Ino-Shika-Cho""Transcription: ""Densetsu no Inoshikachō"" (Japanese: 伝説の猪鹿蝶)",Kiyomu Fukuda,Masahiro Hikokubo,08/12/2011,26/04/2014,6.1,233,"Shikamaru, Ino and Choji reminisce on their time with Kosuke Maruboshi, and their time creating the Ino-Shika-Cho technique.",Filler,,239,"
                            7.9
                        "
240,11,19,"""Kiba's Determination""Transcription: ""Kiba no Ketsui"" (Japanese: キバの決意)",Ken'ichi Nishida,Daisuke Watanabe,15/12/2011,03/05/2014,5.8,230,Kiba is upset at the overbearing success of Naruto and seeks out Kakashi to help him train. Kakashi summons his dogs to spar with Kiba and Akamaru. The pair retreat to a spot that Kiba knows very well.,Filler,,240,"
                            8
                        "
241,11,20,"""Kakashi, My Eternal Rival!""Transcription: ""Kakashi, Waga Eien no Raibaru yo"" (Japanese: カカシ、我が永遠のライバルよ)",Yuusuke Onoda,Junki Takegami,22/12/2011,10/05/2014,6.7,248,Guy is extremely sea sick and accidentally sends an SOS turtle to get Kakashi's help.,Filler,,241,"
                            7.8
                        "
242,11,21,"""Naruto's Vow""Transcription: ""Naruto no Chikai"" (Japanese: ナルトの誓い)",Naoki Horiuchi,Yuka Miyata,28/12/2011,17/05/2014,6.3,233,"During a stop for supplies, Naruto meets Akatsuchi and Kurotsuchi of the Hidden Stone. They are on an important mission to deliver a letter from the Tsuchikage to the Mizukage.",Filler,,242,"
                            8.2
                        "
243,12,1,"""Land Ahoy! Is this the Paradise Island?""Transcription: ""Jōriku! Rakuen no Shima?"" (Japanese: 上陸! 楽園の島?)",Hiroshi Yamazaki,Katsuhiko Chiba,05/01/2012,24/05/2014,7,325,Naruto finally arrives to the island and meet Killer B.,Manga Canon,,243,"
                            9.1
                        "
244,12,2,"""Killer Bee and Motoi""Transcription: ""Kirābī to Motoi"" (Japanese: キラービーとモトイ)",Hideki Takayama,Shin Yoshida,12/01/2012,31/05/2014,7,335,Motoi tells Naruto and Yamato a story about him and Killer B.,Manga Canon,,244,"
                            9
                        "
245,12,3,"""The Next Challenge! Naruto vs. The Nine Tails""Transcription: ""Saranaru Shiren! Naruto VS Kyūbi!!"" (Japanese: さらなる試練! ナルトVS九尾!!)",Kanryou Kishikawa,Junki Takegami,19/01/2012,07/06/2014,8.2,394,"Naruto will face the Kyûbi with the guidance of Killer B, but first he needs to face his own inner hatred.",Manga Canon,,245,"
                            8.8
                        "
246,12,4,"""The Orange Spark""Transcription: ""Orenji-iro no Kagayaki"" (Japanese: オレンジ色の輝き)",Masahiko Murata,Yasuyuki Suzuki,26/01/2012,14/06/2014,8.8,727,Naruto continues his fight against the Nine-Tails and makes an unexpected encounter.,Manga Canon,,246,"
                            8.1
                        "
247,12,5,"""Target: Nine Tails""Transcription: ""Nerawareta Kyūbi"" (Japanese: 狙われた九尾)",Hisashi Ishii,Junki Takegami,02/02/2012,21/06/2014,8.8,716,"With the help of his mother, Naruto fights the Nine-Tails. Then, Kushina start telling the story of the day her son was born.",Manga Canon,,247,"
                            8.1
                        "
248,12,6,"""The Fourth Hokage's Death Match!""Transcription: ""Yondaime no Shitō!!"" (Japanese: 四代目の死闘!!)",Masaaki Kumagai,Junki Takegami,09/02/2012,28/06/2014,9.5,1586,The story of the day Naruto was born continues: the mysterious masked ninja makes his move and chaos ensues at Konoha Village.,Manga Canon,,248,"
                            8.2
                        "
